Airport/Airfield,"KEY WEST INTL",Civilian/Public,24.55611,-81.75945
Airport/Airfield,"CIUDAD LIBERTAD",Military,23.09528,-82.43166
Airport/Airfield,VARADERO,Civilian/Public,23.03389,-81.43555
Airport/Airfield,"PLAYA BARACOA",Military,23.03242,-82.57941
Airport/Airfield,"MARIEL CNAS",Other,23.00786,-82.76739
Airport/Airfield,"JOSE MARTI INTL","Joint Military/Civilian",22.98961,-82.40892
Airport/Airfield,"SAN JOSE DE LAS LAJAS HWY",Other,22.98083,-82.13306
Airport/Airfield,"SAN PEDRO HIGHWAY STRIP",Other,22.97933,-82.47164
Airport/Airfield,"SAN ANTONIO DE LOS BANOS",Military,22.87167,-82.50916
Airport/Airfield,"SAN NICOLAS",Other,22.75614,-81.92091
Airport/Airfield,"EL FRANCES",Other,22.61861,-82.93195
Airport/Airfield,"PINAR DEL RIO NORTE",Other,22.42175,-83.67764
Airport/Airfield,"LA COLOMA",Other,22.33528,-83.64417
Airport/Airfield,MANTUA,Other,22.25639,-84.31277
Airport/Airfield,CIENFUEGOS,"Joint Military/Civilian",22.15000,-80.41389
Airport/Airfield,"SAN JULIAN",Military,22.09528,-84.15166
Airport/Airfield,"NUEVA GERONA","Joint Military/Civilian",21.83736,-82.78236
Airport/Airfield,"CAYO LARGO DEL SUR",Other,21.61639,-81.54611
Airport/Airfield,"ROCK SOUND",Other,24.89194,-76.17778
Airport/Airfield,"ANDROS TOWN",Other,24.69861,-77.79611
Airport/Airfield,"ARTHURS TOWN",Other,24.62972,-75.67361
Airport/Airfield,"CLARENCE A BAIN",Other,24.28444,-77.68555
Airport/Airfield,"STANIEL CAY",Other,24.16945,-76.44111
Airport/Airfield,"CONGO TOWN",Other,24.15736,-77.58916
Airport/Airfield,"LEE STOCKING",Other,23.77345,-76.10433
Airport/Airfield,"STELLA MARIS",Other,23.58333,-75.26806
Airport/Airfield,"EXUMA INTL",Other,23.56139,-75.87417
Airport/Airfield,"DEADMANS CAY",Other,23.17950,-75.09333
Airport/Airfield,CAIBARIEN,Other,22.50644,-79.46983
Airport/Airfield,"SANTA CLARA",Military,22.49283,-79.94222
Airport/Airfield,"CIEGO DE AVILA",Other,22.02389,-78.79583
Airport/Airfield,"SANCTI SPIRITUS",Other,21.97033,-79.44264
Airport/Airfield,"SAN PEDRO",Other,21.74028,-79.77972
Airport/Airfield,FLORIDA,Other,21.49933,-78.20306
Airport/Airfield,"LA OLIVIA",Other,21.46825,-78.46528
Airport/Airfield,"IGNACIO AGRAMONTE","Joint Military/Civilian",21.42056,-77.84528
Airport/Airfield,"LAS TUNAS",Other,20.98764,-76.93578
Airport/Airfield,HOLGUIN,"Joint Military/Civilian",20.78695,-76.31361
Airport/Airfield,NICARO,Other,20.68806,-75.52944
Airport/Airfield,BAYAMO,Other,20.39647,-76.62148
Airport/Airfield,MANZANILLO,Other,20.28833,-77.08778
Airport/Airfield,GUANTANAMO,Other,20.08595,-75.15847
Airport/Airfield,"SAN SALVADOR",Other,24.06389,-74.53139
Airport/Airfield,"COLONEL HILL",Other,22.74722,-74.18169
Airport/Airfield,"SPRING POINT",Other,22.44250,-73.97028
Airport/Airfield,"NORTH CAICOS",Other,21.91722,-71.94222
Airport/Airfield,PROVIDENCIALES,Civilian/Public,21.77333,-72.26806
Airport/Airfield,"SOUTH CAICOS",Other,21.51483,-71.52711
Airport/Airfield,"GRAND TURK INTL",Other,21.44444,-71.14222
Airport/Airfield,"GREAT INAGUA",Other,20.97722,-73.66528
Airport/Airfield,MOA,Other,20.65414,-74.92197
Airport/Airfield,BARACOA,"Joint Military/Civilian",20.36528,-74.50639
Airport/Airfield,"OWEN ROBERTS INTERNATIONAL",Civilian/Public,19.29306,-81.35861
Airport/Airfield,"ISLAS DEL CISNE",Other,17.40889,-83.93333
Airport/Airfield,AHUAS,Other,15.46861,-84.35250
Airport/Airfield,"ANTONIO MACEO","Joint Military/Civilian",19.96986,-75.83561
Airport/Airfield,"GUANTANAMO BAY NS",Military,19.90647,-75.20707
Airport/Airfield,"GERRARD SMITH",Other,19.68722,-79.88445
Airport/Airfield,"SANGSTER INTERNATIONAL",Civilian/Public,18.50472,-77.91222
Airport/Airfield,BOSCOBEL,Other,18.40389,-76.96778
Airport/Airfield,"KEN JONES",Other,18.19889,-76.53528
Airport/Airfield,"TINSON PEN",Civilian/Public,17.98889,-76.82139
Airport/Airfield,"NORMAN MANLEY INTERNATIONAL",Civilian/Public,17.93389,-76.78861
Airport/Airfield,"PUERTO PLATA INTERNATIONAL",Other,19.75945,-70.56445
Airport/Airfield,"CIBAO INTL","Joint Military/Civilian",19.47028,-70.69889
Airport/Airfield,"ANGELINA COTUI",Other,19.13139,-70.21972
Airport/Airfield,CONSTANZA,"Joint Military/Civilian",18.90778,-70.71944
Airport/Airfield,"PORT AU PRINCE INTL",Civilian/Public,18.57972,-72.29278
Airport/Airfield,"CABO ROJO",Other,17.92889,-71.64445
Airport/Airfield,"ARROYO BARRIL",Other,19.19889,-69.42944
Airport/Airfield,"PUNTA CANA",Other,18.56797,-68.36127
Airport/Airfield,"SAN ISIDRO AB",Military,18.50389,-69.76195
Airport/Airfield,"RAFAEL HERNANDEZ",Other,18.49667,-67.12945
Airport/Airfield,HERRERA,Civilian/Public,18.46889,-69.96944
Airport/Airfield,DORADO,Other,18.46472,-66.29278
Airport/Airfield,"FERNANDO LUIS R DOMINICCI",Civilian/Public,18.45972,-66.10222
Airport/Airfield,"ANTONIO/NERY/JUARBE POL",Other,18.45028,-66.67583
Airport/Airfield,"LUIS MUNOZ MARIN INTL","Joint Military/Civilian",18.43941,-66.00184
Airport/Airfield,"DE LAS AMERICAS INTL",Civilian/Public,18.42972,-69.66861
Airport/Airfield,"LA ROMANA",Civilian/Public,18.41139,-68.94167
Airport/Airfield,"DIEGO JIMENEZ TORRES",Other,18.30833,-65.66111
Airport/Airfield,"EUGENIO MARIA DE HOSTOS",Civilian/Public,18.25550,-67.14755
Airport/Airfield,"ROOSEVELT ROADS NS",Military,18.25056,-65.63500
Airport/Airfield,VIEQUES,Other,18.13556,-65.49194
Airport/Airfield,MERCEDITA,Civilian/Public,18.01056,-66.56084
Airport/Airfield,"FORT ALLEN",Other,18.00945,-66.50445
Airport/Airfield,"SANTA ISABEL",Other,17.96583,-66.39000
Airport/Airfield,"BEEF ISLAND",Other,18.44472,-64.54222
Airport/Airfield,"CYRIL E KING",Civilian/Public,18.33729,-64.97334
Airport/Airfield,WALLBLAKE,Other,18.21111,-63.05695
Airport/Airfield,"GRAND CASE",Other,18.10028,-63.05139
Airport/Airfield,"PRINSES JULIANA",Civilian/Public,18.04111,-63.10917
Airport/Airfield,"ALEXANDER HAMILTON",Civilian/Public,17.70472,-64.79833
